,Gene,Gene_name,Vanc_l2fc,Vanc_q,Rif_l2fc,Rif_q,INH_l2fc,INH_q,Emb_l2fc,Emb_q
343,RVBD1343c,lprD,0.27,1,0.03,1,0.28,1,0.87,1
344,RVBD2087,rv2087,0.27,1,1.00,1,0.12,1,0.86,1
345,RVBD0085,hycP,0.27,1,0.41,1,-0.51,1,-0.15,1
346,RVBD0088,rv0088,0.27,1,0.14,1,-0.18,1,0.24,1
347,RVBD2446c,rv2446c,0.27,1,0.08,1,-0.63,0.141972,0.15,1
348,RVBD2671,ribD,0.27,1,0.13,1,0.06,1,0.37,1
349,RVBD2855,mtr,0.27,1,0.12,1,1.16,0.555839,0.14,1
350,RVBD1471,trxB1,0.27,1,-1.11,1,0.68,1,-0.37,1
351,RVBD1663,pks17,0.27,1,0.17,1,0.29,1,0.24,1
352,RVBD1517,rv1517,0.27,1,0.19,1,0.30,1,-0.02,1
353,RVBD2405,rv2405,0.26,1,0.55,1,0.54,1,0.30,1
354,RVBD1729c,rv1729c,0.26,1,-0.22,1,0.04,1,-0.83,1
355,RVBD2381c,mbtD,0.26,1,0.22,1,0.45,1,-0.05,1
356,RVBD0692,rv0692,0.26,1,0.37,1,-0.36,1,0.24,1
357,RVBD3650,PE33,0.26,1,0.44,1,0.96,1,0.10,1
358,RVBD3158,nuoN,0.26,1,0.25,1,-0.27,1,1.55,1
359,RVBD1531,rv1531,0.26,1,0.13,1,-0.01,1,-0.19,1
360,RVBD0018c,pstP,0.26,1,0.33,1,0.73,1,-1.00,1
361,RVBD2799,rv2799,0.26,1,0.22,1,0.03,1,0.19,1
362,RVBD1543,rv1543,0.26,1,0.12,1,-0.09,1,0.70,1
363,RVBD1104,rv1104,0.26,1,0.13,1,-0.02,1,0.02,1
364,RVBD1931c,rv1931c,0.26,1,0.58,1,0.25,1,-0.01,1
365,RVBD3154,nuoJ,0.26,1,0.39,1,-0.24,1,0.39,1
366,RVBD1069c,rv1069c,0.26,1,0.33,1,-0.35,1,2.68,0
367,RVBD1624c,rv1624c,0.26,1,0.24,1,-0.14,1,0.26,1
368,RVBD2798c,rv2798c,0.26,1,0.81,1,-0.25,1,0.27,1
369,RVBD1530,adh,0.26,1,0.19,1,0.23,1,0.05,1
370,RVBD0378,rv0378,0.26,1,0.04,1,0.13,1,0.13,1
371,RVBD3657c,rv3657c,0.26,1,-0.06,1,0.02,1,0.45,1
372,RVBD2002,fabG3,0.26,1,0.24,1,-0.14,1,-0.09,1
373,RVBD2755c,hsdS.1,0.26,1,0.19,1,-0.05,1,0.18,1
374,RVBD2708c,rv2708c,0.25,1,0.09,1,1.41,1,-0.06,1
375,RVBD2635,rv2635,0.25,1,0.29,1,0.10,1,-0.49,1
376,RVBD1322A,rv1322A,0.25,1,0.04,1,-0.04,1,0.44,0.798474
377,RVBD1079,metB,0.25,1,0.20,1,0.69,1,0.33,1
378,RVBD3190A,rv3190A,0.25,1,-0.04,1,-0.26,1,-0.28,1
379,RVBD0500B,rv0500B,0.25,1,-0.18,1,1.77,1,1.33,1
380,RVBD1679,fadE16,0.25,1,-0.40,1,0.41,1,-0.18,1
381,RVBD0569,rv0569,0.25,1,0.15,1,-0.05,1,0.25,1
382,RVBD2386A,mbtJ,0.25,1,0.53,1,-0.07,1,0.72,1
383,RVBD0735,sigL,0.25,1,0.26,1,0.10,1,-0.08,1
384,RVBD3243c,rv3243c,0.25,1,0.70,1,0.12,1,-0.02,1
385,RVBD1322,rv1322,0.25,1,-0.16,1,-0.96,0.738926,-0.05,1
386,RVBD3500c,yrbE4B,0.25,1,0.08,1,0.08,1,0.18,1
387,RVBD0158,rv0158,0.25,1,-0.10,1,-2.59,0,0.25,1
388,RVBD1577c,rv1577c,0.25,1,-0.16,1,0.27,1,-0.20,1
389,RVBD2970A,rv2970A,0.25,1,0.49,1,0.31,1,0.45,1
390,RVBD1585c,rv1585c,0.25,1,0.28,1,0.02,1,0.03,1
391,RVBD0546c,rv0546c,0.25,1,0.79,0.483992,-0.17,1,0.40,1
392,RVBD3208A,TB9.4,0.25,1,0.30,1,-0.40,1,0.80,1
393,RVBD0557,mgtA,0.25,1,-0.17,1,0.08,1,-0.09,1
394,RVBD1145,mmpL13a,0.25,1,-0.12,1,0.11,1,0.18,1
395,RVBD0736,rslA,0.25,1,0.40,1,-0.50,1,0.30,1
396,RVBD1089,PE10,0.25,1,0.60,1,-0.21,1,0.06,1
397,RVBD1035c,rv1035c,0.25,1,0.46,1,0.04,1,0.30,1
398,RVBD2249c,glpD1,0.25,1,-0.34,1,0.40,1,-0.22,1
399,RVBD0756c,rv0756c,0.24,1,0.10,1,0.01,1,0.06,1
400,RVBD2550c,vapB20,0.24,1,0.17,1,1.25,1,0.51,1
401,RVBD0010c,rv0010c,0.24,1,0.32,1,-0.17,1,0.45,1
402,RVBD0687,rv0687,0.24,1,0.36,1,-0.03,1,0.31,1
403,RVBD1210,tagA,0.24,1,0.14,1,-0.18,1,0.55,1
404,RVBD0120c,fusA2,0.24,1,-0.04,1,-0.23,1,0.11,1
405,RVBD3109,moaA1,0.24,1,0.39,1,0.11,1,0.07,1
406,RVBD3214,gpm2,0.24,1,0.17,1,-1.00,1,0.69,1
407,RVBD1303,rv1303,0.24,1,-0.01,1,-0.51,1,0.11,1
408,RVBD2732c,rv2732c,0.24,1,0.57,1,-0.72,1,0.16,1
409,RVBD3541c,rv3541c,0.24,1,0.41,1,0.11,1,0.45,1
410,RVBD1516c,rv1516c,0.24,1,0.13,1,0.11,1,0.08,1
411,RVBD3250c,rubB,0.24,1,-0.29,1,0.12,1,0.16,1
412,RVBD0013,trpG,0.24,1,0.87,6,-0.85,1,0.89,1
413,RVBD0406c,rv0406c,0.24,1,-0.56,1,-0.05,1,-0.28,1
414,RVBD0589,mce2A,0.24,1,0.01,1,0.07,1,-0.37,1
415,RVBD2949c,rv2949c,0.24,1,-0.01,1,0.04,1,-0.11,1
416,RVBD1962A,vapB35,0.24,1,0.21,1,-0.28,1,0.93,1
417,RVBD2424c,rv2424c,0.24,1,0.36,1,-0.26,1,-0.19,1
418,RVBD0508,rv0508,0.24,1,0.84,1,-0.27,1,0.57,1
419,RVBD1946c,lppG,0.24,1,0.07,1,0.06,1,0.33,1
420,RVBD2627c,rv2627c,0.23,1,0.06,1,0.16,1,0.41,1
421,RVBD1351,rv1351,0.23,1,-0.15,1,-0.17,1,-0.33,1
422,RVBD3360,rv3360,0.23,1,-0.12,1,0.11,1,-0.42,1
423,RVBD1060,rv1060,0.23,1,-0.08,1,0.06,1,0.13,1
424,RVBD2586c,secF,0.23,1,0.55,1,-0.35,1,-2.79,1
425,RVBD1580c,rv1580c,0.23,1,0.05,1,-0.18,1,0.00,1
426,RVBD2993c,rv2993c,0.23,1,-0.03,1,0.43,1,0.10,1
427,RVBD1291c,rv1291c,0.23,1,0.89,1,-0.54,1,-0.15,1
428,RVBD0752c,fadE9,0.23,1,0.01,1,-0.10,1,-0.13,1
429,RVBD3499c,mce4A,0.23,1,0.14,1,0.00,1,0.17,1
430,RVBD3559c,rv3559c,0.23,1,0.64,1,-0.56,1,0.32,1
431,RVBD3552,rv3552,0.23,1,0.20,1,-0.18,1,0.28,1
432,RVBD0385,rv0385,0.23,1,-0.44,1,-0.55,1,-0.76,1
433,RVBD0369c,rv0369c,0.23,1,-0.20,1,0.41,1,0.14,1
434,RVBD1135c,PPE16,0.23,1,0.28,1,-0.41,1,0.30,1
435,RVBD1181,pks4,0.23,1,-0.09,1,-0.03,1,0.47,1
436,RVBD1160,mutT2,0.23,1,0.27,1,-0.05,1,-0.33,1
437,RVBD1579c,rv1579c,0.23,1,-0.14,1,-0.26,1,0.47,1
438,RVBD2972c,rv2972c,0.23,1,-0.10,1,0.18,1,0.09,1
439,RVBD1664,pks9,0.23,1,0.14,1,0.15,1,-0.13,1
440,RVBD3251c,rubA,0.23,1,0.36,1,-0.06,1,0.50,1
441,RVBD0249c,rv0249c,0.23,1,0.02,1,2.06,0,0.63,0.87783
442,RVBD2576c,rv2576c,0.23,1,-0.21,1,0.24,1,-0.06,1
443,RVBD2369c,rv2369c,0.23,1,-0.28,1,0.37,1,-0.30,1
444,RVBD3177,rv3177,0.23,1,0.05,1,-0.24,1,0.30,1
445,RVBD0913c,rv0913c,0.23,1,0.25,1,-0.08,1,0.14,1
446,RVBD0822c,rv0822c,0.23,1,-0.01,1,-0.11,1,0.20,1
447,RVBD2828c,rv2828c,0.23,1,0.59,1,0.02,1,0.53,1
448,RVBD3363c,rv3363c,0.22,1,-0.72,1,0.45,1,0.02,1
449,RVBD0785,rv0785,0.22,1,0.21,1,0.18,1,-0.13,1
450,RVBD3855,ethR,0.22,1,0.07,1,-0.86,1,0.33,1
451,RVBD0345,rv0345,0.22,1,0.13,1,0.26,1,0.28,1
452,RVBD2040c,rv2040c,0.22,1,0.10,1,-0.04,1,-0.01,1
453,RVBD3316,sdhC,0.22,1,0.03,1,-0.05,1,-0.99,1
454,RVBD0400c,fadE7,0.22,1,0.42,1,0.27,1,0.22,1
455,RVBD2255c,rv2255c,0.22,1,-0.77,1,1.52,1,1.58,1
456,RVBD0559c,rv0559c,0.22,1,0.16,1,-0.01,1,0.65,1
457,RVBD2527,vapC17,0.22,1,-0.07,1,0.08,1,0.03,1
458,RVBD1447c,zwf2,0.22,1,0.12,1,0.95,0.356391,-0.46,1
459,RVBD0885,rv0885,0.22,1,-0.38,1,0.13,1,-0.22,1
460,RVBD2043c,pncA,0.22,1,0.34,1,-0.24,1,0.52,1
461,RVBD1272c,rv1272c,0.22,1,-0.53,1,0.68,1,0.02,1
462,RVBD2970c,lipN,0.22,1,-0.06,1,0.11,1,0.46,1
463,RVBD1952,vapB14,0.22,1,-0.56,1,0.15,1,0.03,1
464,RVBD1173,fbiC,0.22,1,0.33,1,1.62,0,0.68,1
465,RVBD3494c,mce4F,0.22,1,0.10,1,-0.13,1,0.24,1
466,RVBD2366c,rv2366c,0.22,1,0.28,1,0.11,1,0.54,1
467,RVBD1717,rv1717,0.22,1,-0.19,1,0.01,1,-0.01,1
468,RVBD2410c,rv2410c,0.22,1,-0.46,1,-0.74,1,0.20,1
469,RVBD1095,phoH2,0.22,1,-0.01,1,0.08,1,-0.02,1
470,RVBD2856,nicT,0.22,1,0.16,1,-0.69,0.948299,-0.36,1
471,RVBD0590,mce2B,0.22,1,-0.03,1,-0.41,1,0.03,1
472,RVBD3498c,mce4B,0.22,1,0.25,1,-0.04,1,0.29,1
473,RVBD2376c,cfp2,0.22,1,0.38,1,0.37,1,-0.26,1
474,RVBD0870c,rv0870c,0.22,1,-0.04,1,-0.41,1,-0.09,1
475,RVBD3371,rv3371,0.22,1,0.16,1,0.31,1,0.19,1
476,RVBD1182,papA3,0.21,1,-0.09,1,-0.03,1,1.09,1
477,RVBD2836c,dinF,0.21,1,0.20,1,0.28,1,-0.12,1
478,RVBD2521,bcp,0.21,1,-0.05,1,0.14,1,0.11,1
479,RVBD0259c,rv0259c,0.21,1,-1.12,1,0.13,1,-0.05,1
480,RVBD0547c,rv0547c,0.21,1,0.19,1,0.17,1,-0.07,1
481,RVBD3000,rv3000,0.21,1,0.07,1,-0.04,1,0.32,1
482,RVBD3113,rv3113,0.21,1,0.36,1,0.04,1,0.31,1
483,RVBD0613c,rv0613c,0.21,1,0.06,1,-0.07,1,-0.13,1
484,RVBD1987,rv1987,0.21,1,-0.34,1,0.00,1,0.10,1
485,RVBD2860c,glnA4,0.21,1,-0.05,1,0.02,1,0.28,1
486,RVBD0390,rv0390,0.21,1,-0.22,1,0.39,1,0.19,1
487,RVBD2662,rv2662,0.21,1,-0.11,1,-0.11,1,0.05,1
488,RVBD0348,rv0348,0.21,1,0.13,1,-0.14,1,0.05,1
489,RVBD2154c,ftsW,0.21,1,0.95,1,-0.67,1,0.83,1
490,RVBD0374c,rv0374c,0.21,1,-0.19,1,-0.14,1,0.28,1
491,RVBD0379,secE2,0.21,1,0.00,1,0.22,1,-0.02,1
492,RVBD0550c,vapB3,0.21,1,0.21,1,-0.26,1,-0.22,1
493,RVBD1807,PPE31,0.21,1,0.12,1,-0.05,1,0.39,1
494,RVBD2645,rv2645,0.21,1,0.41,1,-0.12,1,-0.57,1
495,RVBD2849c,cobO,0.21,1,0.13,1,0.20,1,-0.18,1
496,RVBD1730c,rv1730c,0.21,1,0.08,1,-0.15,1,0.38,1
497,RVBD1680,rv1680,0.21,1,0.18,1,0.14,1,0.10,1
498,RVBD0891c,rv0891c,0.21,1,0.12,1,-0.26,1,0.04,1
499,RVBD2705c,rv2705c,0.21,1,0.23,1,-0.36,1,0.41,1
500,RVBD0678,rv0678,0.21,1,-0.14,1,-0.82,1,0.33,1
501,RVBD2660c,rv2660c,0.21,1,-0.31,1,0.30,1,-0.15,1
502,RVBD2135c,rv2135c,0.21,1,-0.19,1,-2.95,0.011762,2.59,0.024287
503,RVBD0863,rv0863,0.21,1,0.03,1,-0.31,1,0.71,1
504,RVBD3130c,tgs1,0.21,1,-0.19,1,0.26,1,0.08,1
505,RVBD0521,rv0521,0.21,1,0.11,1,0.11,1,0.06,1
506,RVBD0274,rv0274,0.20,1,0.09,1,-0.05,1,-0.60,1
507,RVBD3292,rv3292,0.20,1,0.23,1,0.23,1,0.09,1
508,RVBD2268c,cyp128,0.20,1,-0.15,1,0.04,1,-0.06,1
509,RVBD2259,mscR,0.20,1,0.29,1,1.33,0.011757,0.71,1
510,RVBD0126,treS,0.20,1,-1.71,0.166111,-1.30,0.231999,-1.02,0.708447
511,RVBD2823c,rv2823c,0.20,1,0.18,1,-0.05,1,0.01,1
512,RVBD3416,whiB3,0.20,1,0.24,1,-0.03,1,0.17,1
513,RVBD1138c,rv1138c,0.20,1,-0.01,1,0.22,1,-0.05,1
514,RVBD1554,frdC,0.20,1,0.23,1,0.04,1,0.31,1
515,RVBD0370c,rv0370c,0.20,1,0.41,1,0.02,1,-0.17,1
516,RVBD0755c,PPE12,0.20,1,-0.27,1,-0.11,1,-0.03,1
517,RVBD3544c,fadE28,0.20,1,0.05,1,-0.18,1,-0.25,1
518,RVBD1570,bioD,0.20,1,0.34,1,0.11,1,0.58,1
519,RVBD2818c,rv2818c,0.20,1,0.06,1,-0.07,1,0.03,1
520,RVBD1055,rv1055,0.20,1,-1.96,1,0.95,1,-0.50,1
521,RVBD3830c,rv3830c,0.20,1,-0.10,1,-0.19,1,-0.21,1
522,RVBD2756c,hsdM,0.20,1,0.00,1,0.07,1,-0.04,1
523,RVBD2964,purU,0.20,1,0.19,1,0.24,1,0.01,1
524,RVBD2437,rv2437,0.20,1,0.23,1,0.32,1,-0.16,1
525,RVBD3169,rv3169,0.20,1,-0.02,1,-0.05,1,-0.19,1
526,RVBD2077A,rv2077A,0.20,1,0.30,1,-0.02,1,-0.06,1
527,RVBD3694c,rv3694c,0.20,1,-0.47,1,-0.33,1,-0.04,1
528,RVBD1260,rv1260,0.20,1,0.31,1,0.22,1,0.13,1
529,RVBD0346c,ansP2,0.20,1,0.54,1,0.09,1,2.18,0
530,RVBD1235,lpqY,0.20,1,0.16,1,0.06,1,0.71,1
531,RVBD0892,rv0892,0.20,1,0.25,1,-0.11,1,0.07,1
532,RVBD1001,arcA,0.20,1,0.01,1,-0.20,1,-0.02,1
533,RVBD3880c,espL,0.20,1,-0.02,1,-0.22,1,0.24,1
534,RVBD3112,moaD1,0.20,1,-0.19,1,-0.20,1,-0.19,1
535,RVBD3690,rv3690,0.20,1,-0.60,1,-0.28,1,-0.29,1
536,RVBD1431,rv1431,0.20,1,0.09,1,-0.08,1,0.21,1
537,RVBD0966c,rv0966c,0.20,1,0.22,1,-0.03,1,-0.03,1
538,RVBD3769,rv3769,0.19,1,-0.65,1,0.41,1,-1.57,1
539,RVBD1911c,lppC,0.19,1,0.23,1,-0.31,1,-0.34,1
540,RVBD3178,rv3178,0.19,1,-0.30,1,0.19,1,-0.13,1
541,RVBD0764c,cyp51,0.19,1,0.28,1,0.10,1,0.15,1
542,RVBD0572c,rv0572c,0.19,1,-0.12,1,-0.24,1,0.09,1
543,RVBD2857c,rv2857c,0.19,1,-0.35,1,0.05,1,-0.64,1
544,RVBD0053,rpsF,0.19,1,-0.77,1,-2.28,1,3.03,1
545,RVBD2718c,nrdR,0.19,1,-0.01,1,-0.42,1,-0.30,1
546,RVBD0048c,rv0048c,0.19,1,0.00,1,-0.06,1,0.50,1
547,RVBD3765c,tcrX,0.19,1,-0.14,1,0.07,1,-0.27,1
548,RVBD1105,rv1105,0.19,1,-0.10,1,-0.02,1,0.65,1
549,RVBD2544,lppB,0.19,1,-0.25,1,0.03,1,-0.21,1
550,RVBD2331A,rv2331A,0.19,1,0.18,1,0.67,1,0.08,1
551,RVBD2500c,fadE19,0.19,1,-0.11,1,0.80,1,-1.10,1
552,RVBD2321c,rocD2,0.19,1,0.40,1,-0.27,1,-0.17,1
553,RVBD2737A,rv2737A,0.19,1,-0.67,1,-0.70,1,0.31,1
554,RVBD1330c,pncB1,0.19,1,0.23,1,0.27,1,-0.48,1
555,RVBD2307B,rv2307B,0.19,1,-0.15,1,0.10,1,0.38,1
556,RVBD3768,rv3768,0.19,1,-0.20,1,-0.20,1,0.26,1
557,RVBD2078,rv2078,0.19,1,-0.12,1,0.58,1,-0.58,1
558,RVBD3772,hisC2,0.19,1,-0.17,1,-0.10,1,-0.01,1
559,RVBD0634c,rv0634c,0.19,1,-0.20,1,-0.16,1,-0.13,1
560,RVBD1259,udgB,0.19,1,0.16,1,0.13,1,0.03,1
561,RVBD1563c,treY,0.19,1,0.28,1,0.29,1,-0.16,1
562,RVBD1881c,lppE,0.19,1,0.17,1,-0.02,1,0.01,1
563,RVBD2307A,rv2307A,0.19,1,-0.26,1,0.36,1,-0.19,1
564,RVBD0614,rv0614,0.19,1,0.04,1,0.01,1,-0.20,1
565,RVBD2039c,rv2039c,0.19,1,0.17,1,0.02,1,0.11,1
566,RVBD3156,nuoL,0.18,1,0.29,1,-0.20,1,0.08,1
567,RVBD1371,rv1371,0.18,1,0.26,1,0.18,1,0.00,1
568,RVBD0113,gmhA,0.18,1,0.05,1,0.53,1,0.14,1
569,RVBD0585c,rv0585c,0.18,1,0.16,1,-0.10,1,0.00,1
570,RVBD1692,rv1692,0.18,1,0.00,1,0.60,1,-0.28,1
571,RVBD2788,sirR,0.18,1,0.35,1,0.29,1,-0.42,1
572,RVBD1128c,rv1128c,0.18,1,0.08,1,0.02,1,-0.10,1
573,RVBD1490,rv1490,0.18,1,0.00,1,0.15,1,-0.07,1
574,RVBD0471c,rv0471c,0.18,1,0.03,1,-0.06,1,0.02,1
575,RVBD2613c,rv2613c,0.18,1,0.45,1,-2.00,0.142303,2.31,0.306296
576,RVBD3026c,rv3026c,0.18,1,0.40,1,-0.03,1,0.13,1
577,RVBD1172c,PE12,0.18,1,-0.25,1,0.30,1,0.30,1
578,RVBD1598c,rv1598c,0.18,1,-0.17,1,0.38,1,-0.14,1
579,RVBD1246c,relE,0.18,1,-0.13,1,0.04,1,-0.12,1
580,RVBD2494,vapC38,0.18,1,0.13,1,0.14,1,0.07,1
581,RVBD1348,irtA,0.18,1,-0.08,1,0.86,1,0.43,1
582,RVBD0391,metZ,0.18,1,0.17,1,0.23,1,-0.24,1
583,RVBD2511,orn,0.18,1,0.00,1,2.88,0.605808,1.15,1
584,RVBD3382c,lytB1,0.18,1,0.03,1,0.04,1,0.08,1
585,RVBD3529c,rv3529c,0.18,1,-0.03,1,-0.04,1,0.00,1
586,RVBD1473,rv1473,0.18,1,0.07,1,-0.20,1,-0.02,1
587,RVBD1562c,treZ,0.18,1,-0.04,1,0.56,1,-0.09,1
588,RVBD2812,rv2812,0.18,1,0.33,1,-0.10,1,-0.05,1
589,RVBD3678c,rv3678c,0.18,1,-0.04,1,0.24,1,0.44,1
590,RVBD0901,rv0901,0.18,1,0.40,1,0.19,1,0.10,1
591,RVBD1686c,rv1686c,0.18,1,-0.01,1,0.23,1,0.18,1
592,RVBD1486c,rv1486c,0.18,1,0.23,1,-1.01,0.992951,-0.91,1
593,RVBD3127,rv3127,0.18,1,0.17,1,-0.27,1,0.03,1
594,RVBD1424c,rv1424c,0.18,1,0.26,1,0.02,1,-0.10,1
595,RVBD2495c,bkdC,0.18,1,-0.74,1,0.27,1,-0.17,1
596,RVBD0865,mog,0.18,1,0.26,1,0.11,1,0.30,1
597,RVBD1597,rv1597,0.18,1,-0.01,1,0.27,1,-0.15,1
598,RVBD1509,rv1509,0.18,1,0.37,1,0.12,1,0.03,1
599,RVBD3068c,pgmA,0.18,1,0.04,1,-0.09,1,0.00,1
600,RVBD0688,rv0688,0.18,1,-0.03,1,0.05,1,-0.29,1
601,RVBD2449c,rv2449c,0.18,1,0.20,1,0.29,1,-0.14,1
602,RVBD0419,lpqM,0.18,1,-0.05,1,-0.11,1,0.05,1
603,RVBD1544,rv1544,0.18,1,0.22,1,-0.02,1,0.55,1
604,RVBD1008,tatD,0.18,1,0.14,1,0.49,1,0.07,1
605,RVBD1051c,rv1051c,0.18,1,0.30,1,0.23,1,-0.02,1
606,RVBD1159A,rv1159A,0.18,1,0.02,1,0.08,1,0.00,1
607,RVBD3649,rv3649,0.17,1,0.24,1,-0.13,1,0.19,1
608,RVBD1198,esxL,0.17,1,-0.57,1,0.13,1,-0.37,1
609,RVBD0781,ptrBa,0.17,1,-0.23,1,-0.19,1,-0.08,1
610,RVBD0713,rv0713,0.17,1,0.07,1,-0.17,1,-0.10,1
611,RVBD2963,rv2963,0.17,1,0.02,1,-0.08,1,0.10,1
612,RVBD0029,rv0029,0.17,1,-0.10,1,-0.15,1,0.13,1
613,RVBD2604c,snoP,0.17,1,0.10,1,0.59,1,-0.22,1
614,RVBD2036,rv2036,0.17,1,0.43,1,0.19,1,0.17,1
615,RVBD1377c,rv1377c,0.17,1,-0.04,1,-0.08,1,-0.03,1
616,RVBD1676,rv1676,0.17,1,0.36,1,-0.10,1,0.21,1
617,RVBD2319c,rv2319c,0.17,1,0.34,1,-0.03,1,0.00,1
618,RVBD3469c,mhpE,0.17,1,0.20,1,-0.13,1,0.00,1
619,RVBD2312,rv2312,0.17,1,0.00,1,0.05,1,-0.23,1
620,RVBD1255c,rv1255c,0.17,1,-0.22,1,0.07,1,-0.07,1
621,RVBD2136c,rv2136c,0.17,1,-0.16,1,-0.45,1,1.07,0.880197
622,RVBD1346,mbtN,0.17,1,-0.06,1,0.07,1,-0.39,1
623,RVBD3142c,rv3142c,0.17,1,0.14,1,0.03,1,0.15,1
624,RVBD0611c,rv0611c,0.17,1,0.09,1,-0.10,1,0.17,1
625,RVBD0893c,rv0893c,0.17,1,-0.29,1,-0.20,1,-0.69,1
626,RVBD0474,rv0474,0.17,1,0.12,1,0.25,1,0.28,1
627,RVBD1037c,esxI,0.17,1,-0.01,1,0.43,1,0.40,1
628,RVBD3375,amiD,0.17,1,-0.21,1,0.18,1,0.02,1
629,RVBD2310,rv2310,0.17,1,0.44,1,-0.31,1,0.07,1
630,RVBD2386c,mbtI,0.17,1,0.23,1,0.04,1,-0.44,1
631,RVBD3481c,rv3481c,0.17,1,0.06,1,-0.05,1,0.09,1
632,RVBD1501,rv1501,0.17,1,0.18,1,-0.05,1,-0.54,1
633,RVBD1131,prpC,0.17,1,-0.09,1,-0.64,1,0.95,0.87783
634,RVBD1521,fadD25,0.17,1,0.15,1,-0.06,1,0.15,1
635,RVBD2435c,rv2435c,0.17,1,0.01,1,0.29,1,-0.25,1
636,RVBD3637,rv3637,0.17,1,0.26,1,0.05,1,-0.25,1
637,RVBD2562,rv2562,0.17,1,0.15,1,0.06,1,0.02,1
638,RVBD0816c,thiX,0.17,1,0.67,1,-0.20,1,0.17,1
639,RVBD0691A,rv0691A,0.17,1,-0.13,1,0.08,1,0.05,1
640,RVBD0849,rv0849,0.17,1,0.10,1,-0.01,1,-0.21,1
641,RVBD1979c,rv1979c,0.17,1,0.16,1,0.00,1,0.16,1
642,RVBD2492,rv2492,0.17,1,-0.07,1,0.14,1,0.26,1
643,RVBD3253c,rv3253c,0.16,1,0.14,1,0.33,1,0.17,1
644,RVBD0605,rv0605,0.16,1,-0.06,1,0.16,1,0.09,1
645,RVBD0670,end,0.16,1,-0.16,1,-0.11,1,-0.14,1
646,RVBD3424c,rv3424c,0.16,1,-0.16,1,-0.15,1,-0.26,1
647,RVBD2625c,rv2625c,0.16,1,-0.04,1,0.18,1,-0.09,1
648,RVBD1123c,bpoB,0.16,1,-0.31,1,0.27,1,0.17,1
649,RVBD0273c,rv0273c,0.16,1,0.06,1,0.01,1,0.01,1
650,RVBD2834c,ugpE,0.16,1,0.28,1,-0.21,1,0.25,1
651,RVBD0452,rv0452,0.16,1,-0.07,1,0.04,1,-0.16,1
652,RVBD0768,aldA,0.16,1,-0.30,1,0.06,1,-0.34,1
653,RVBD1541c,lprI,0.16,1,-0.30,1,0.00,1,-0.25,1
654,RVBD0183,rv0183,0.16,1,0.37,1,0.11,1,0.22,1
655,RVBD1732c,rv1732c,0.16,1,0.03,1,0.21,1,0.30,1
656,RVBD0856,rv0856,0.16,1,-0.10,1,0.13,1,-0.09,1
657,RVBD3502c,rv3502c,0.16,1,0.28,1,-0.25,1,-0.19,1
658,RVBD0864,moaC2,0.16,1,0.04,1,-0.14,1,-0.09,1
659,RVBD3566c,nat,0.16,1,0.27,1,0.03,1,-0.29,1
660,RVBD1052,rv1052,0.16,1,-0.22,1,-0.18,1,-0.56,1
661,RVBD0402c,mmpL1,0.16,1,0.07,1,-0.03,1,0.21,1
662,RVBD0418,lpqL,0.16,1,0.17,1,0.23,1,0.18,1
663,RVBD2801A,mazE9,0.16,1,0.03,1,0.30,1,0.32,1
664,RVBD0234c,gabD1,0.16,1,-0.11,1,0.33,1,0.07,1
665,RVBD0091,mtn,0.16,1,-0.14,1,0.07,1,0.58,1
666,RVBD3527,rv3527,0.16,1,0.33,1,-0.39,1,-0.48,1
667,RVBD2505c,fadD35,0.16,1,-0.08,1,0.16,1,0.47,1
668,RVBD0404,fadD30,0.16,1,-0.18,1,0.06,1,-0.08,1
669,RVBD0934,pstS1,0.16,1,0.28,1,0.20,1,-0.27,1
670,RVBD2624c,rv2624c,0.16,1,0.47,1,-0.10,1,-1.53,1
671,RVBD0552,rv0552,0.16,1,-0.05,1,-0.14,1,-0.03,1
672,RVBD0123,rv0123,0.16,1,0.33,1,-0.66,1,-0.43,1
673,RVBD3088,tgs4,0.16,1,-0.04,1,0.12,1,0.24,1
674,RVBD3656c,rv3656c,0.16,1,0.11,1,-0.38,1,0.14,1
675,RVBD2240c,rv2240c,0.16,1,0.20,1,-0.10,1,0.62,1
676,RVBD3321c,vapB44,0.16,1,0.26,1,0.07,1,0.45,1
677,RVBD3868,eccA1,0.16,1,0.00,1,-0.18,1,0.10,1
678,RVBD3291c,lrpA,0.16,1,0.15,1,0.23,1,-0.24,1
679,RVBD0778,cyp126,0.16,1,0.09,1,0.01,1,0.05,1
680,RVBD2006,otsB1,0.16,1,0.15,1,0.18,1,-0.03,1
681,RVBD3749Ac,rv3748,0.16,1,-0.12,1,0.07,1,-0.22,1
682,RVBD1932,tpx,0.16,1,0.39,1,-1.38,1,0.50,1
683,RVBD0105c,rpmB1,0.16,1,0.19,1,-0.06,1,-0.26,1
684,RVBD1589,bioB,0.16,1,-0.14,1,-0.40,1,-0.39,1
685,RVBD1439c,rv1439c,0.16,1,0.11,1,0.05,1,-0.05,1
686,RVBD1963c,mce3R,0.16,1,0.58,1,-0.39,1,1.24,0.306296
687,RVBD2923c,rv2923c,0.16,1,0.37,1,0.10,1,0.22,1
688,RVBD2862c,rv2862c,0.16,1,0.22,1,0.00,1,-0.10,1
689,RVBD1549,fadD11.1,0.16,1,0.26,1,0.15,1,0.34,1
